osmid,cause,year,earthquake,war,fire,other_natural,other
69839724,fire,948,FALSE,FALSE,TRUE,FALSE,FALSE
84387233,partially collapsed,1396,FALSE,FALSE,FALSE,FALSE,TRUE
89444715,vikings,860,FALSE,TRUE,FALSE,FALSE,FALSE
72096102,vikings,875,FALSE,TRUE,FALSE,FALSE,FALSE
39973703,fire,1007,FALSE,FALSE,TRUE,FALSE,FALSE
88938397,fire,1493,FALSE,FALSE,TRUE,FALSE,FALSE
23315210,fire,1442,FALSE,FALSE,TRUE,FALSE,FALSE
28132042,collapse after flood,1300,FALSE,FALSE,FALSE,TRUE,FALSE
36706994,fire,1465,FALSE,FALSE,TRUE,FALSE,FALSE
124180040,fire,1006,FALSE,FALSE,TRUE,FALSE,FALSE
38577954,vikings,903,FALSE,TRUE,FALSE,FALSE,FALSE
73677188,fire,1166,FALSE,FALSE,TRUE,FALSE,FALSE
25311951,vikings,853,FALSE,TRUE,FALSE,FALSE,FALSE
73122051,vikings,890,FALSE,TRUE,FALSE,FALSE,FALSE
97407668,lightening in tower,1281,FALSE,FALSE,FALSE,TRUE,FALSE
79901345,normans,919,FALSE,TRUE,FALSE,FALSE,FALSE
145197217,normans,950,FALSE,TRUE,FALSE,FALSE,FALSE
94434589,fire,1047,FALSE,FALSE,TRUE,FALSE,FALSE
186328222,100-y war,1354,FALSE,TRUE,FALSE,FALSE,FALSE
404009406,fire,985,FALSE,FALSE,TRUE,FALSE,FALSE
131841891,100-y war,1400,FALSE,TRUE,FALSE,FALSE,FALSE
51088330,fire,1388,FALSE,FALSE,TRUE,FALSE,FALSE
262220623,fire,1235,FALSE,FALSE,TRUE,FALSE,FALSE
274945455,partly damaged by fire,1457,FALSE,FALSE,TRUE,FALSE,FALSE
274017666,fire,1438,FALSE,FALSE,TRUE,FALSE,FALSE
52908260,fire,1370,FALSE,FALSE,TRUE,FALSE,FALSE
33492308,vikings,857,FALSE,TRUE,FALSE,FALSE,FALSE
237388535,fire,1279,FALSE,FALSE,TRUE,FALSE,FALSE
33701392,fire,1279,FALSE,FALSE,TRUE,FALSE,FALSE
