osmid,city,osmname,surface,osmwikipedia,osmlink,category,mendicants,lat,lon,,,,,,,,,,,,,,,
503078651,Aquila (L'Aquila),Duomo San Massimo,height,,,cathedral,,,,23,23,23,23,23,23,,,,,,,,,
503078651,Aquila (L'Aquila),Duomo San Massimo,m3,,,cathedral,,,,,,,,,,,,,,,,,,
503078651,Aquila (L'Aquila),Duomo San Massimo,guestimate,,,cathedral,,,,1,1,1,1,1,1,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
496723141,Aquila (L'Aquila),Chiesa di San Domenico,2290.999239,it.wikipedia.org/wiki/Chiesa_di_San_Domenico_(L'Aquila),http://www.openstreetmap.org/way/496723141,conventual,1,42.35237991,13.39441847,x,x,x,x,x,x,x,x,x,x,x,x,x,,
496723141,Aquila (L'Aquila),Chiesa di San Domenico,year,,,conventual,1,,,1309,1425,1461,1480,,,,,,,,,,,
496723141,Aquila (L'Aquila),Chiesa di San Domenico,surface,,,conventual,1,,,0,2000,,500,,,,,,,,,,,
496723141,Aquila (L'Aquila),Chiesa di San Domenico,height,,,conventual,1,,,25,25,25,25,,,,,,,,,,,
496723141,Aquila (L'Aquila),Chiesa di San Domenico,m3,,,conventual,1,,,,,,,,,,,,,,,,,
496723141,Aquila (L'Aquila),Chiesa di San Domenico,guestimate,,,conventual,1,,,1,1,1,1,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
124813346,Aquila (L'Aquila),Basilica di Santa Maria di Collemaggio,3181.96441,it.wikipedia.org/wiki/Basilica_di_Santa_Maria_di_Collemaggio,http://www.openstreetmap.org/way/124813346,parish,,42.34267813,13.40475946,x,x,x,x,x,x,x,x,x,x,x,x,x,,
124813346,Aquila (L'Aquila),Basilica di Santa Maria di Collemaggio,year,,,parish,,,,1287,1315,1316,1340,1349,1460,1461,1570,,,,,,,
124813346,Aquila (L'Aquila),Basilica di Santa Maria di Collemaggio,surface,,,parish,,,,0,2600,0,1000,,1500,,1000,,,,,,,
