city,UN.country.code,country,transport.location,X__1,X700y,X800y,X900y,X1000y,X1100y,X1200y,X1300y,X1400y,X1500y,X1550y,X1600y,X1650y,X1700y,X1750y,X1800y,X1850y,X1900y,X1950y,X2000y,latitude,longtitude,elevation,loc,lat,lon,loc_frmtd,distance
Este,380,Italy,river mediterranean,,0,0,0,0,1,1,2,1,3,4,5,4,4,5,7,10,11,16,17,45.22,11.67,15,Este,45.2254915,11.6603917,"35042 Este, Province of Padua, Italy",0.970546369728038
Ferentino,380,Italy,land mediterranean,,1,1,2,2,2,2,3,2,2,3,3,3,4,4,5,7,12,16,20,41.68,13.25,395,Ferentino,41.6956788,13.2577285,"03013 Ferentino FR, Italy",1.85648430003781
Fossombrone,380,Italy,river mediterranean,,1,1,2,2,2,2,3,2,2,3,3,3,3,4,5,7,11,12,10,43.7,12.8,118,Fossombrone,43.6886585,12.8033192,"61034 Fossombrone, Province of Pesaro and Urbino, Italy",1.28822080958483
Gubbio,380,Italy,land mediterranean,,2,2,2,2,2,3,3,2,3,3,4,4,4,4,4,6,26,37,32,43.35,12.58,522,Gubbio,43.3513193,12.5753166,"06024 Gubbio, Province of Perugia, Italy",0.407017794772924
La Spezia,380,Italy,med,,1,2,2,2,2,3,3,2,2,2,3,3,2,3,4,12,74,112,91,44.12,9.83,10,La Spezia,44.1024504,9.8240826,"La Spezia, SP, Italy",2.00674849523435
Latina (Littona),380,Italy,land mediterranean,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,35,105,41.57,12.9,21,Latina,41.4675671,12.9035965,"04100 Latina, Province of Latina, Italy",11.3806712298008
Montagnana,380,Italy,land mediterranean,,0,0,0,0,1,2,3,2,3,3,4,4,4,5,6,9,10,13,9,45.23,11.47,16,Montagnana,45.2308365,11.4624091,"35044 Montagnana, Province of Padua, Italy",0.603319440509902
Montepulciano,380,Italy,land mediterranean,,1,1,2,2,2,2,3,2,4,3,3,2,2,2,3,4,15,17,14,43.08,11.78,605,Montepulciano,43.0986938,11.7872467,"53045 Montepulciano, Province of Siena, Italy",2.15899059297249
Nicastro (= part of Lamezia Terme),380,Italy,land mediterranean,,0,0,1,1,2,2,2,1,2,2,3,3,2,3,4,6,29,52,71,38.98,16.33,216,Nicastro (= part of Lamezia Terme),38.9669689,16.3199537,"L.T. Nicastro, Via Nazionale Nicastro, 88046 Lamezia Terme CZ, Italy",1.68841923561083
Oria,380,Italy,land mediterranean,,1,1,1,1,1,2,2,1,1,2,2,2,2,2,3,4,9,14,15,40.5,17.63,166,Oria,40.4993413,17.6388796,"72024 Oria, BR, Italy",0.756252657070059
Oristano,380,Italy,med,,0,0,0,1,1,2,2,1,2,2,3,3,2,3,4,6,9,16,31,44.77,8.78,10,Oristano,39.906182,8.5883863,"09170 Oristano, Province of Oristano, Italy",540.507954102673
Ormea,380,Italy,land mediterranean,,0,0,0,1,1,2,2,1,2,2,3,3,2,3,4,5,6,5,2,44.15,7.9,740,Ormea,44.1482868,7.9104915,"12078 Ormea, Province of Cuneo, Italy",0.860687296473776
Ortona a Mare,380,Italy,med,,1,1,1,1,1,2,2,1,2,3,3,3,3,4,5,7,16,22,23,42.35,14.4,72,Ortona a Mare,42.3522441,14.4028113,"66026 Ortona, Province of Chieti, Italy",0.340283351114488
Osimo,380,Italy,land mediterranean,,1,1,1,1,1,2,2,1,2,3,3,3,3,4,5,7,18,23,29,43.47,13.48,265,Osimo,43.4884025,13.4785426,"60027 Osimo, Province of Ancona, Italy",2.04797309973194
Otranto,380,Italy,med,,1,1,1,1,1,2,2,1,1,1,1,1,1,2,2,2,2,3,5,40.13,18.5,15,Otranto,40.1438978,18.4911678,"73028 Otranto LE, Italy",1.71697087406946
Resina (Ercolano),380,Italy,med,,0,0,0,0,1,1,1,1,2,2,3,3,4,6,7,9,12,20,53,40.8,14.35,44,Resina (Ercolano),40.8039741,14.3510823,"Corso Resina, 80056 Ercolano NA, Italy",0.450679452018049
